priority,family,id,name,cadence,recoverability,auth,url,models,notes
P0,buffer,neso_tec,NESO TEC Register,twice_weekly,snapshot_now,none,https://api.neso.energy/api/3/action/datapackage_show?id=transmission-entry-capacity-tec-register,capacity;shadow;scenario,Forward contracted transmission connection capacity; archive every published version.
P0,innovation_response,planning_data_recent,England Planning Data recent applications,daily,partial,none,https://www.planning.data.gov.uk/entity.json?dataset=planning-application&limit=100,capacity;scenario,Planning-application specification is still developing; source coverage incomplete.
P0,innovation_response,contracts_finder,Contracts Finder OCDS,hourly,historical_api,none,https://www.contractsfinder.service.gov.uk/Published/Notices/OCDS/Search,capacity;demand;lag,Public procurement demand and awards.
P0,innovation_response,find_tender,Find a Tender OCDS,hourly,historical_api,none,https://www.find-tender.service.gov.uk/api/1.0/ocdsReleasePackages,capacity;demand;lag,Higher-value UK procurement notices.
P0,adoption,uk_trade_info,HMRC UK Trade Info,monthly,historical_api,none,https://api.uktradeinfo.com,demand;dependency;lag,OData; query CN8/HS commodity by month/country rather than collecting entire API blindly.
P0,labour,ons_job_ads,ONS occupation job-ad volumes,monthly,historical_files,none,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/labourdemandvolumesbystandardoccupationclassificationsoc2020uk,skills;lag,"Local authority x SOC 2020, Jan 2017 onward."
P0,labour,ons_job_skills,ONS job-ad skills/competencies,release,historical_files,none,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/skillscompetenciesandotherjobrequirementsfromonlinejobadvertsuk,skills;dependency,Maps occupations to changing skill requirements.
P1,labour,ons_job_salaries,ONS online job-ad salaries,release,historical_files,none,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/earningsandworkinghours/datasets/onlinejobadvertssalariesuk,skills;shadow;lag,Wage/asking-salary response by occupation and region.
P0,dependency,skills_england,Skills England Occupational Maps API,weekly,current_api,none,https://occupational-maps-api.skillsengland.education.gov.uk/api/v1/,skills;dependency,Occupation -> SOC -> duties -> KSBs -> training products.
P0,labour,apprenticeship_ads,Apprenticeship Display Advert API,hourly,limited,api_key,https://api.apprenticeships.education.gov.uk/vacancies,skills;training_response;lag,Use API v2.
P0,innovation_response,openalex_frontier,OpenAlex frontier works,hourly,historical_api,optional_key,https://api.openalex.org/works?filter=from_updated_date:2026-09-19&per_page=100,innovation;dependency;lag,Parameterize topics/query; do not ingest all OpenAlex into POW.
P0,innovation_response,github_releases,GitHub releases/commits,hourly,historical_api,optional_token,https://api.github.com/repos/{owner}/{repo}/releases,innovation;lag,"Use tracked repo universe; capture releases, commits, tags, dependency/SBOM changes where useful."
